User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
18655567,stevesilberman,348791561.0,249.75,376.75,183.75,59192.25,453834.25,162.0,14.4
19318314,SenatorLujan,347410768.0,79.0,18.893,14.724,4361.517,19596.759,15.897,14.4
19961822,MartynReah,346343424.0,54.333,206.667,99.222,602.333,50298.444,68.778,14.4
105533433,iamevltwin,316335771.0,30.133,74.062,106.467,711.938,107154.812,32.867,14.4
43532023,schemaly,336304348.0,71.556,237.0,46.889,10167.111,761290.667,72.667,14.4
1855763186,TonyDanielx2,201053148.0,31.119,10.548,35.548,7838.548,19193.5,8.286,14.4
86742779,balletboy09,322906984.0,28.098,13.805,38.15,793.244,9322.22,20.512,14.4
245243839,jamileeross,283541030.0,18.208,5.394,9.265,135.83,722.72,1.3,14.4
14780493,lennyzeltser,369179511.0,16.603,14.26,13.658,656.945,2202.63,4.594,14.4
953776388,VChangPoet,226831187.0,47.389,48.5,83.167,5045.667,54463.611,11.0,14.4
293196728,fannychoir,275447320.0,35.571,48.679,27.857,28651.0,329872.464,27.321,14.4
19122675,ovi8,347772401.0,6.213,2.097,2.783,4945.117,1872.543,1.35,14.4
35214545,wongrel,339329325.0,7.256,6.144,11.874,567.141,12109.459,3.662,14.4
238346334,sungkang,284948435.0,16.714,9.667,14.283,1298.778,1108.012,3.8,14.4
47363263,KimCattrall,334916387.0,21.889,10.667,40.933,7849.222,19298.844,12.838,14.4
15006743,zpower,367400475.0,346.8,15.75,280.4,4732.2,31254.2,76.6,14.4
2415918252,MNunezOfficial,183983009.0,10.831,31.133,10.056,1250.533,1881.017,6.897,14.4
440993196,CodeBoom,255683889.0,32.556,3.6,82.107,392.857,1316.0,7.111,14.4
1969651069,Eloisa_Amezcua,197864521.0,47.684,37.421,84.053,4790.0,206585.842,18.684,14.4
217808673,jenbenka,289727946.0,54.857,48.75,12.071,3486.107,52590.179,8.786,14.4
9349172,craiu,387981742.0,10.489,39.085,20.283,991.468,9769.043,7.913,14.4
47711346,Ilseman,334817748.0,5.698,8.045,23.13,70.892,20292.508,5.379,14.4
38379055,brianlightman,338321857.0,27.786,163.643,38.5,232.143,84444.714,56.857,14.4
901371,rmondello,406405929.0,83.357,49.571,98.214,3600.071,368002.714,35.929,14.4
285509764,TamaraRojo1,276621631.0,20.75,51.556,17.806,785.944,6167.056,16.0,14.4
92720796,vilgaCS,320769065.0,15.82,3.5,45.7,973.32,7453.08,3.674,14.4
610555568,UINT_MIN,240083631.0,17.0,18.773,112.545,629.455,48938.955,14.0,14.4
39357410,kylemooney,337916566.0,7.985,3.045,7.679,659.66,1946.553,2.349,14.4
66388461,DMBravo46,329471556.0,18.493,2.667,7.217,76.1,733.714,1.0,14.4
25382562,ianaddison,342500934.0,42.4,21.3,261.1,2395.4,23094.7,9.4,14.4
71512330,rxwei,327933253.0,3.121,4.585,4.188,155.143,421.881,1.962,14.4
19739420,CharlesSoule,346728322.0,45.0,22.786,164.214,14489.714,3285.071,22.929,14.4
2871627629,maggiesmithpoet,164326171.0,57.571,153.429,252.143,39896.714,229929.857,71.857,14.4
184584860,EVesnina001,296872001.0,18.379,16.151,14.855,2004.689,14193.649,1.091,14.4
607152697,NgatiBird,240408099.0,17.639,9.415,15.678,316.707,1579.152,2.268,14.4
36935647,jacknicklaus,338814537.0,16.923,6.26,4.284,12783.782,1986.507,4.415,14.4
21384302,gazneedle,344877209.0,11.652,31.583,92.208,502.375,35255.375,9.8,14.4
398107992,BeckyFrancis7,260438770.0,8.422,48.125,11.167,248.208,2277.542,7.447,14.4
983562338,HargreavesBC,225590317.0,57.3,15.35,9.472,1586.425,5539.65,22.9,14.4
14933304,joswinson,368016978.0,42.344,24.147,30.882,42415.257,115069.914,19.061,14.4
145107843,MikeTrout,305840960.0,12.317,12.553,7.575,32131.324,18198.362,1.667,14.4
57374779,januaryoneil,332235052.0,56.5,123.688,22.067,580.062,707608.188,21.6,14.4
14181505,jeremiahg,374018747.0,40.889,6.278,133.389,1597.778,303.833,12.222,14.4
28059115,BILLBELLAMY,341432296.0,54.629,33.657,4.265,770.257,179929.2,12.242,14.4
1590754944,hasherezade,206282549.0,8.789,115.632,45.316,1657.684,125763.105,11.526,14.4
739293,courosa,409728597.0,146.556,79.889,134.222,9872.778,184758.0,53.778,14.4
353960403,PeterJTomasi,266808427.0,54.421,17.263,13.27,2638.132,28360.868,38.919,14.4
15959875,JamesTheFourth,360478870.0,102.2,107.2,115.4,17833.5,111033.1,73.5,14.4
