user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
wearelineate,303466869.0,16.955,3.118,1.905,1509,106,40,5,13.489,21.011,1.0
virendra79,293720026.0,66.727,183.727,43.455,734,2021,478,253,1441.818,488162.0,23.0
traceyvincel,279524608.0,7.524,1.708,1.412,632,41,24,1,66.435,60.953,1.0
Nafeesmeah,225287530.0,6.643,17.923,1.462,558,932,19,179,17.796,4224.237,3.891
Magpi_Mobile,339326927.0,63.0,26.469,1.4,2331,847,21,41,10.622,1254.703,2.278
ilyasut,201932865.0,4.229,6.22,2.037,203,311,55,172,1066.509,1712.564,4.41
mirianfrsilva,285130719.0,47.464,19.857,19.118,1329,278,325,183,84.552,62371.517,22.875
MoPathGuy,152348096.0,10.444,9.75,9.49,658,585,484,144,98.794,10968.926,4.8
TEKKEN,115602018.0,47.391,17.756,6.537,2180,799,268,141,15011.617,6255.426,4.147
BillyRowley,328593254.0,3.517,1.979,8.097,306,95,915,33,58.402,6064.667,1.833
kkmookhey,269773845.0,6.531,12.495,7.012,640,1337,603,325,61.287,29753.591,5.702
MehrotraDPT,319633007.0,4.209,7.778,8.136,181,280,358,117,4.302,9965.698,3.656
colors_infinity,144253535.0,136.273,9.429,3.6,2998,198,54,35,336.182,1909.591,3.5
TheSarahLeBlanc,283933644.0,10.59,2.917,11.864,1112,245,961,246,85.963,829.757,3.844
nadiahijab,308984322.0,4.0,4.057,1.75,360,215,42,44,8.656,275.99,1.63
The_Sleigher,196842758.0,180.0,226.0,1212.5,360,452,2425,249,27722.5,633286.0,124.5
Steviegrieve,258595900.0,20.8,14.75,58.6,104,59,293,42,1924.2,27869.0,8.4
sujit_kr_lucky,348419759.0,36.682,5.432,12.0,2421,201,576,164,46.636,3325.0,7.455
leepace,173938716.0,4.618,2.587,3.156,314,119,101,51,13851.859,26389.38,1.821
DwayneDuggerII,339869992.0,124.143,222.571,102.571,869,1558,718,367,3781.714,2715319.143,52.429
ivivianrichards,92411804.0,8.065,4.588,4.643,371,156,65,179,24188.5,2563.13,4.972
senaparna,313342662.0,5.919,2.889,5.826,219,26,268,18,1642.109,1082.4,3.6
david_perell,284595513.0,66.6,23.6,234.7,666,236,2347,337,82848.8,18496.3,33.7
joebryantla,273217977.0,9.049,3.581,2.048,371,111,43,35,36.979,2605.021,2.917
mr_rcollins,392260579.0,142.682,2.0,4.45,3139,22,89,5,36.955,79.955,1.0
