user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
NuliBouli,282996190.0,4.902,6.079,5.0,299,383,210,135,28.781,2854.795,3.0
officialbhoy,316067668.0,4.477,1.54,2.079,488,77,79,47,317.875,10438.312,1.469
olebegemann,286375322.0,15.638,19.87,34.0,735,914,1598,287,1157.106,28391.957,6.378
olofmeister,262263252.0,18.625,9.864,21.969,1192,582,1406,42,33117.422,7539.203,1.273
OphirHarpaz,263708582.0,13.902,7.162,30.783,709,265,1416,271,759.784,9038.294,6.61
ovi8,347772401.0,6.213,2.097,2.783,553,65,64,27,4945.117,1872.543,1.35
owexelstein,352040140.0,14.125,7.655,24.119,904,666,1616,22,4.51,895.656,1.571
pamfoundation,339923156.0,57.4,90.0,17.474,1148,1710,332,70,43967.8,57333.75,4.375
PauDybala_JR,254633893.0,12.21,7.135,3.812,1282,528,183,109,86312.888,17905.215,2.477
paulalbennett,341293471.0,17.577,25.612,16.517,914,1255,958,236,869.19,2105.155,5.13
paulchowdhry,344386942.0,22.692,5.262,4.821,2360,442,405,281,2253.856,812.644,4.46
PaulGAllen,343047044.0,8.959,1.8,4.0,869,54,328,7,3659.806,2207.173,1.167
pcasaretto,375150997.0,3.119,2.615,3.101,340,285,307,78,3.672,2010.971,1.625
peacehearty,338937583.0,25.45,24.443,3.479,1527,1491,167,301,281.377,17996.918,5.574
PepsMccrea,299266355.0,10.632,19.232,27.351,606,1077,1559,386,232.614,2910.561,6.772
PeterJTomasi,266808427.0,54.421,17.263,13.27,2068,656,491,1440,2638.132,28360.868,38.919
Petra_Kvitova,247569114.0,20.514,2.677,6.425,2277,166,469,193,16428.865,1432.189,3.063
pgor,385105428.0,45.042,43.25,46.042,1081,1038,1105,384,228.208,310435.917,16.0
Philjimeneznyc,317692639.0,128.429,98.714,235.714,899,691,1650,811,15867.571,411676.857,115.857
Phil_Coutinho,338244606.0,7.471,1.6,18.059,523,16,307,0,6409.917,3303.542,0.0
pkafka,413096889.0,74.273,52.909,167.818,817,582,1846,558,15246.909,32055.364,50.727
Pogue,387234506.0,24.907,4.061,31.537,1345,199,1703,80,4732.0,14205.833,3.077
pokimanelol,193003178.0,18.955,5.773,122.909,417,127,2704,10,1328299.318,76740.636,1.429
prattprattpratt,284328659.0,22.118,11.311,7.623,2057,690,404,927,155034.495,29934.768,14.045
rabois,346048045.0,36.818,3.125,256.364,405,25,2820,293,12970.091,924.182,26.636
rachelmonline,324884061.0,27.781,10.693,4.071,2028,941,228,88,1071.333,2018.667,2.378
RachelNotley,336587500.0,429.0,149.8,70.8,2145,749,354,337,108202.6,36372.8,67.4
RafaelNadal,268060558.0,21.559,3.037,4.782,2544,246,263,158,69951.449,19842.373,2.981
rafat,362279279.0,137.273,84.727,73.364,1510,932,807,465,1842.909,75504.818,42.273
